NAME_OLD,NAME_NEW,SQL_DTYPE,DESC,SERIES
STATUS,BMF_STATUS_CODE,,,
TAX_PERIOD,F990_TAX_PERIOD_END_DATE,,,
ASSET_CD,BMF_ASSET_CODE,,,
INCOME_CD,BMF_INCOME_CODE,,,
FILING_REQ_CD,BMF_FILING_REQ_CODE,,,
PF_FILING_REQ_CD,BMF_PF_FILING_REQ_CODE,,,
ACCT_PD,BMF_ACCT_PD_CODE,,,
ASSET_AMT,F990_TOTAL_ASSETS,,,
INCOME_AMT,F990_TOTAL_INCOME,,,
REVENUE_AMT,F990_TOTAL_REVENUE,,,
NTEE_CD,BMF_NTEE,,,
SORT_NAME,BMF_ORG_NAME_SEC,,,
CASSETS,F990_TOTAL_ASSETS_BOOKVALUE,,,
LEVEL1,NCCS_LEVEL_1,,,
LEVEL2,NCCS_LEVEL_2,,,
LEVEL3,NCCS_LEVEL_3,,,
LEVEL4,NCCS_LEVEL_4,,,
MAJGRPB,NCCS_NTEE_MAJOR_GROUP_B,,,
NTEECC,BMF_NTEE,,,
SUBSECCD,BMF_SUBSECTION_CODE,,,
FNDNCD,BMF_FOUNDATION_CODE,,,
FNDCD,BMF_FOUNDATION_CODE,,,
GEN,BMF_GROUP_EXEMPT_NUM,,,
ACCPER,BMF_ACCT_PD_CODE,,,
ASSETS,F990_TOTAL_ASSETS,,,
FRCD,BMF_FILING_REQ_CODE,,,
INCOME,F990_TOTAL_INCOME,,,
CITY,BMF_ADDR_CITY,,,
ADDRESS,BMF_ADDR,,,
ZIP,BMF_ADDR_ZIP,,,
ZIP5,BMF_ADDR_ZIP5,,,
TAXPER,F990_TAX_PERIOD_END_DATE,,,
STATE,BMF_ADDR_STATE,,,
STREET,BMF_ADDR_STREET,,,
RULEDATE,BMF_RULING_DATE,,,
ACTIV1,BMF_ACTIVITY_CODE,,,
ORGCD,BMF_ORGANIZATION_CODE,,,
SEC_NAME,BMF_ORG_NAME_SEC,,,
NAME,BMF_ORG_NAME,,,
NTEEFINAL,NCCS_NTEE,,,
EIN,F990_ORG_EIN,,,
CFILER,NCCS_24MNTH_990_FILED,,,
CFINSRC,NCCS_FINANCIAL_DATA_SOURCE,,,
CTAXPER,NCCS_TAX_PERIOD_END_DATE,,,
CTOTREV,NCCS_TOTAL_REVENUE,,,
CZFILER,NCCS_24MNTH_NOINCOME_990_FILED,,,
FILER,NCCS_24MNTH_ALL990_FILED,,,
IRS990N,NCCS_990N_FILED,,,
OUTNCCS,NCCS_OUT_OF_SCOPE,,,
OUTREAS,NCCS_OUT_OF_SCOPE_REASON,,,
RANDNUM,NCCS_RANDOM_NUMBER,,,
ZFILER,NCCS_24MNTH_NOINCOME_990_FILED,,,
NTEE1,NCCS_NTEE_MAJOR_GROUP,,,
NAICS,BMF_NAICS,,,
NTEECONF,NCCS_NTEE_CONFIDENCE,,,
NTEEFINAL1,NCCS_NTEEFINAL_ALT,,,
NTEESRC,NCCS_NTEE_SOURCE,,,
NTMAJ10,NCCS_NTEE_MAJOR_GROUP_10,,,
NTMAJ5,NCCS_NTEE_SUBSECTOR_5,,,
NTMAJ12,NCCS_NTEE_MAJOR_GROUP_12,,,
